Electric motor,电动机,/m/0k335,1347003
Japanese,日本人,/m/019kn7,1343799
Nose,鼻,/m/0k0pj,1342389
Basketball,籃球,/m/018w8,1341800
Rain,雨,/m/06mb1,1340745
Finance,金融,/m/02_7t,1339798
Factory,工厂,/m/0168g6,1339083
Thorax,胸,/m/01mzdt,1338963
Passport,护照,/m/05sv1,1337776
Leaf,叶,/m/09t49,1336372
Farm,农场,/m/0g8p9,1334918
Liver,肝脏,/m/04p8w,1330434
The Heirs,欲戴王冠，必承其重－继承者们,/m/0v1p9zt,1325033
Baking,烘烤,/m/0dv34,1323840
National Day of the People's Republic of China,中华人民共和国国庆节,/m/025wksx,1320648
Communist Party of China,中国共产党,/m/02189,1318742
Computer network,计算机网络,/m/025szts,1318455
Interior design,室内设计,/m/02rfdq,1318326
Moon,月球,/m/04wv_,1317387
Fubon Financial Holding Co.,富邦金融控股,/m/09lvpv,1317234
Backup,备份,/m/02mhh1,1315017
Media player,媒体播放器,/m/015552,1312125
Gray wolf,狼,/m/084sq,1310250
Google News,Google新闻,/m/02cxcd,1309522
Stock market,股市,/m/0drqp,1308190
Hong Kong Jockey Club,香港赛马会,/m/01vx7b,1305633
Carcinoma,癌,/m/01rr1s,1304136
London,倫敦,/m/04jpl,1303190
Menu,菜单,/m/024gjb,1301368
Agriculture,农业,/m/0hkf,1300242
Executive Yuan,行政院,/m/0219zh,1299359
Shabu-shabu,涮涮锅,/m/03qt4l,1298645
History,歷史,/m/03g3w,1298200
Tiger,虎,/m/07dm6,1297041
Hong Kong International Airport,香港国际机场,/m/01ky9c,1297020
Samsung Galaxy Note,Samsung Galaxy Note,/m/0h540pb,1296367
Dragon,龙,/m/02cp5,1296269
Short Message Service,短信,/m/06_j_,1294285
Autumn,秋季,/m/0134l,1293142
EVA Air,长荣航空,/m/022gjz,1292538
Life insurance,人寿保险,/m/021wy4,1289829
Samsung Galaxy S4,Samsung Galaxy S4,/m/0r8kzgd,1289311
Accountancy,会计学,/m/0_jm,1288453
Steaming,蒸,/m/0dxpb,1286487
Dalian,大连市,/m/01l3k6,1286393
Tool,工具,/m/07k1x,1283594
string,字符串,/m/06x16,1283532
Soul,灵魂,/m/07084,1275525
Heat,热量,/m/03k2v,1275091
Emulator,模拟器,/m/02p5w,1271474
Painting,绘画,/m/05qdh,1266739
Bank of China,中国银行,/m/01s77s,1266294
Laser,激光,/m/04gh1,1265548
Financial transaction,交易,/m/033mrd,1265264
Xinzhuang District,新庄区,/m/05h4bhp,1265084
Deal of the day,团购,/m/027rh_f,1265071
"Jiaoxi, Yilan",礁溪乡,/m/0563kc,1264319
Samsung Galaxy,三星Galaxy系列,/m/0hnbsn3,1262683
Brunch,早午餐,/m/0dw_m,1261183
Urine,尿,/m/0b7q43,1258400
E-book,电子书,/m/01bcv7,1253408
Building material,建筑材料,/m/02cr01,1251855
Minigame,小游戏,/m/02kl0g,1251421
Wallpaper,壁纸,/m/01lnt7,1249600
Beitou,北投区,/m/03211b,1249561
Doll,玩偶,/m/0167gd,1241736
Okinawa Prefecture,冲绳县,/m/05mkn,1240619
Metal,金属,/m/04t7l,1240582
Mala sauce,麻辣火锅,/m/0ctn7g,1238682
MSN,MSN,/m/0198jf,1237457
Pen,笔,/m/0k1tl,1237382
3G,3G,/m/01pqj_,1234498
Database,数据库,/m/02bc6,1234475
Function,函数,/m/02v_93z,1231800
Cigarette,香烟,/m/09k76,1231184
"Chinese, Xiang Language",湘语,/m/05fczk,1230400
PlayStation 3,PlayStation 3,/m/067gh,1229441
Kidney,腎,/m/04br3,1226762
Bar,酒吧,/m/01nz0z,1224861
Tiny Times 2,小时代：青木时代,/m/0wqd_hl,1223843
Aviation,航空,/m/0fzyg,1222688
Oven,烤炉,/m/029bxz,1221725
Lineage,天堂,/m/023ztn,1221270
Duck,鸭,/m/09ddx,1221245
Movie theater,电影院,/m/0kcc7,1218776
Tumor,肿瘤,/m/07p3l,1218095
TVB,电视广播有限公司,/m/01ygv2,1218040
Guan Yu,关羽,/m/01jxsg,1215049
Safety,保安,/m/01lh7h,1214519
Kyoto,京都,/m/0ndsmc6,1209106
Snow,雪,/m/06_dn,1208820
Backpack,背包,/m/01940j,1208470
Personal computer,个人电脑,/m/0643t,1207809
Exo,EXO,/m/0h_dkd6,1201621
Contract,合同,/m/0245b,1200822
Radish,萝卜,/m/015x5n,1199805
Korean Language,朝鮮語,/m/02hwhyv,1197365
Entertainment,娱乐,/m/02jjt,1196113
Hokkaido,北海道,/m/0fxrk,1195704
Sweet potato,番薯,/m/0dm32,1193494
The Voice of China,中国好声音,/m/0ll24fb,1192528
