name_en,translation,mid,frequency
Online and offline,Онлайн,/m/0bcp7,223628100
Pornography,Порнография,/m/0f0jjz,196392120
Film,Кинематограф,/m/02vxn,133272736
VK,ВКонтакте,/m/03np4lh,91529680
Game,Игра,/m/034s7,70756158
Pornographic film,Порнофильм,/m/01jk9n,63030691
Human sexual activity,Секс,/m/08_4ns,57459248
Photography,Фотография,/m/05wkw,47243432
Video,Видео,/m/07z4p,43853330
Song,Песня,/m/074ft,43585244
Russian Language,Русский язык,/m/06b_j,42966203
Translation,Перевод,/m/07h26,38294445
Odnoklassniki,Одноклассники,/m/03hn7p6,36858974
Ukraine,Украина,/m/07t21,36759683
Kiev,Киев,/m/02sn34,36066291
Android,Android,/m/02wxtgw,35807855
Video game,Компьютерная игра,/m/01mw1,35277056
Weather,Погода,/m/0866r,34073567
Music,Музыка,/m/04rlf,32744640
Moscow,Москва,/m/04swd,32081608
Automobile,Автомобиль,/m/0k4j,30474595
Russia,Россия,/m/06bnz,29596825
YouTube,YouTube,/m/09jcvs,27924872
Yandex,Яндекс,/m/08rbfg,27625209
Child,Ребёнок,/m/0ytgt,27071838
Animated cartoon,Мультфильм,/m/095bb,25218569
English Language,Английский язык,/m/02h40lc,24635529
Google Translate,Google Переводчик,/m/025sndk,23969810
Saint Petersburg,Санкт-Петербург,/m/06pr6,23557020
Minecraft,Minecraft,/m/09v6kpg,21775330
Verse,Стих,/m/02vw_fx,21679006
iPhone,IPhone,/m/027lnzs,21646466
Book,Книга,/m/0bt_c3,21066115
Microsoft Windows,Microsoft Windows,/m/04r_8,20906351
Computer program,Компьютерная программа,/m/01r9v,20741310
Language,Язык,/m/04g7d,19636802
Birthday,День рождения,/m/01kcnl,18951557
Love,Любовь,/m/048knlz,18514146
Minsk,Минск,/m/0dlxj,18475507
E-mail,Электронная почта,/m/02nf_,18171703
The Internet,Интернет,/m/03rlt,18017435
Word,Слово,/m/052jhp,17428819
Television,Телевидение,/m/07c52,17134870
Recipe,Кулинарный рецепт,/m/0p57p,16943283
News,Новости,/m/05jhg,16518856
Website,Сайт,/m/085n4,16478355
Map,Географическая карта,/m/04_tb,15820228
Google,Гугл,/m/045c7b,15684102
Gestation,Беременность,/m/037c7,15573701
Online game,Онлайн-игра,/m/041psc,15468538
Russian,Русские,/m/0g6ff,15219386
Woman,Женщина,/m/082lw,15037478
Google Search,Google,/m/0387r,15025267
Hair,Волосы,/m/03q69,15018192
Magnificent Century,Великолепный век,/m/0g581c_,14998581
Yandex Search,Яндекс.Поиск,/m/0gmfl7z,14926739
Pregnancy,Беременность человека,/m/05vqh7,14881302
Bank,Банк,/m/017ql,14178913
Apartment,Квартира,/m/01nblt,14080548
Football,Футбол,/m/02vx4,13967284
Russian Wikipedia,Русская Википедия,/m/06gr_6,13853567
Telephone,Телефон,/m/07cx4,13649892
Erotica,Эротика,/m/02js9,13615693
Online shopping,Интернет-магазин,/m/047m52,13500054
Clothing,Одежда,/m/09j2d,13236991
Windows 7,Windows 7,/m/05_30hd,13191050
Man,Мужчина,/m/04yx4,13170717
Computer,Компьютер,/m/074j35,13154228
Price,Цена,/m/01d_1l,13018028
Samsung Group,Samsung,/m/07gv72,12476832
Kharkiv,Харьков,/m/082sy9,12355073
Hotel,Гостиница,/m/03pty,12226557
ru,.ru,/m/0475sp,12060123
Text,Текст,/m/07s6nbt,11996481
Almaty,Алма-Ата,/m/0151s1,11816823
Nokia,Nokia,/m/05b5c,11700734
Sexual intercourse,Половой акт,/m/06vp9,11392506
School,Школа,/m/06zdj,11230031
BitTorrent,BitTorrent,/m/01jp81,10882315
Name,Имя,/m/015vq3,10810117
Apple,Apple,/m/0k8z,10785011
Horoscope,Гороскоп,/m/09y0l,10702934
Kazakhstan,Казахстан,/m/047lj,10509788
Therapy,Терапия,/m/03c1dkx,10450033
Charmed Season 3,Зачарованные - Сезон 3,/m/04k9yj1,10385549
Torrent file,.torrent,/m/080fyws,10369024
Personal computer,Персональный компьютер,/m/0643t,10222434
Movie theater,Кинотеатр,/m/0kcc7,9977204
Radio,Радио,/m/06bz3,9890233
Human,Человек разумный,/m/0dgw9r,9871926
Video clip,Видеоклип,/m/0sy9b,9834771
Salad,Салат,/m/0grw1,9708108
Grand Theft Auto,Grand Theft Auto,/m/04w8jw,9681003
Law,Право,/m/04gb7,9676676
History,История,/m/03g3w,9577722
Sberbank,Сбербанк России,/m/02m3ck,9570696
Wedding,Свадьба,/m/081hv,9521845
Odessa,Одесса,/m/0ffmp,9413157
Furniture,Мебель,/m/0c_jw,9254077
Dom-2,Дом-2,/m/02qfwfv,9111087
Mathematics,Математика,/m/04rjg,8925634
Cat,Кошка,/m/01yrx,8879013
Dog,Собака,/m/0bt9lr,8728959
Yekaterinburg,Екатеринбург,/m/0hkpn,8650204
Television program,Телевизионная программа,/m/0f2f9,8545431
Server,Сервер,/m/0bkxj,8533384
MTS,Мобильные ТелеСистемы,/m/040lw5,8459024
